fuel,emission_kg_per_mmbtu,emission_kg_per_mwh
natural_gas,53.11,181.7
propane,64.25,219.2
fuel_oil_no_1,73.50,250.8
fuel_oil_no_2,74.21,253.2
fuel_oil_no_4,75.29,256.9
fuel_oil_no_5_6,75.35,257.1
diesel_oil,74.21,253.2
kerosene,77.69,265.1
gasoline,71.30,243.3
coal_anthracite,104.44,356.3
coal_bituminous,94.03,320.8
coke,114.42,390.4
wood,95.05,324.3
district_steam,66.40,226.6
district_hot_water,66.40,226.6
district_chilled_water_electric_driven_chiller,52.70,179.8
district_chilled_water_natural_gas_absorption_chiller,73.89,252.1
district_chilled_water_engine_natural_gas_driven_chiller,49.31,168.2
